protocol,round,total_energy_consumed,average_remaining_energy,alive_nodes,generated_packets,delivered_packets,packet_delivery_ratio,average_delay,network_lifetime
Deep Q RL-RPL,3,1.83858,1.93871,30,30,9,0.30000,11.23806,80
Deep Q RL-RPL,4,2.38866,1.92038,30,30,4,0.13333,11.74875,80
Deep Q RL-RPL,5,2.96005,1.90133,30,30,6,0.20000,14.34220,80
Deep Q RL-RPL,6,3.50176,1.88327,30,30,6,0.20000,15.00321,80
Deep Q RL-RPL,7,4.05703,1.86477,30,30,3,0.10000,16.22654,80
Deep Q RL-RPL,8,4.63937,1.84535,30,30,10,0.33333,17.57018,80
Deep Q RL-RPL,9,5.18029,1.82732,30,30,2,0.06667,14.68010,80
Deep Q RL-RPL,10,5.67409,1.81086,30,30,4,0.13333,16.64239,80
Deep Q RL-RPL,11,6.21328,1.79289,30,30,4,0.13333,17.41204,80
Deep Q RL-RPL,12,6.70206,1.77660,30,30,2,0.06667,21.52740,80
Deep Q RL-RPL,13,7.22168,1.75928,30,30,3,0.10000,18.68623,80
Deep Q RL-RPL,14,7.77589,1.74080,30,30,7,0.23333,20.10627,80
Deep Q RL-RPL,15,8.33202,1.72227,30,30,4,0.13333,18.29362,80
Deep Q RL-RPL,16,8.81104,1.70630,30,30,2,0.06667,16.09622,80
Deep Q RL-RPL,17,9.33205,1.68893,30,30,1,0.03333,15.47053,80
Deep Q RL-RPL,18,9.85117,1.67163,30,30,4,0.13333,20.64623,80
Deep Q RL-RPL,19,10.31551,1.65615,30,30,4,0.13333,16.08576,80
Deep Q RL-RPL,20,10.86016,1.63799,30,30,3,0.10000,19.11544,80
Deep Q RL-RPL,21,11.38949,1.62035,30,30,3,0.10000,18.47729,80
Deep Q RL-RPL,22,11.91753,1.60275,30,30,6,0.20000,18.89026,80
Deep Q RL-RPL,23,12.50114,1.58330,30,30,2,0.06667,15.90091,80
Deep Q RL-RPL,24,13.08130,1.56396,30,30,6,0.20000,17.73605,80
Deep Q RL-RPL,25,13.62224,1.54593,30,30,5,0.16667,18.19468,80
Deep Q RL-RPL,26,14.18144,1.52729,30,30,5,0.16667,17.96992,80
Deep Q RL-RPL,27,14.83559,1.50548,30,30,5,0.16667,18.25209,80
Deep Q RL-RPL,28,15.53586,1.48214,30,30,7,0.23333,18.60868,80
Deep Q RL-RPL,29,16.10136,1.46329,30,30,1,0.03333,15.86402,80
Deep Q RL-RPL,30,16.76072,1.44131,30,30,6,0.20000,19.47524,80
Deep Q RL-RPL,31,17.43473,1.41884,30,30,1,0.03333,20.69526,80
Deep Q RL-RPL,32,18.13821,1.39539,30,30,8,0.26667,20.80907,80
Deep Q RL-RPL,33,18.88087,1.37064,30,30,4,0.13333,20.51262,80
Deep Q RL-RPL,34,19.49962,1.35001,30,30,3,0.10000,21.24348,80
Deep Q RL-RPL,35,20.08514,1.33050,30,30,4,0.13333,18.95978,80
Deep Q RL-RPL,36,20.74023,1.30866,30,30,4,0.13333,18.66236,80
Deep Q RL-RPL,37,21.44716,1.28509,30,30,6,0.20000,22.75768,80
Deep Q RL-RPL,38,22.06089,1.26464,30,30,4,0.13333,21.54827,80
Deep Q RL-RPL,39,22.74198,1.24193,30,30,2,0.06667,20.58573,80
Deep Q RL-RPL,40,23.45246,1.21825,30,30,7,0.23333,20.01634,80
Deep Q RL-RPL,41,24.09207,1.19693,30,30,5,0.16667,19.33630,80
Deep Q RL-RPL,42,24.67251,1.17758,30,30,6,0.20000,20.75361,80
Deep Q RL-RPL,43,25.33619,1.15546,30,30,6,0.20000,22.71609,80
Deep Q RL-RPL,44,25.96728,1.13442,30,30,1,0.03333,17.53085,80
Deep Q RL-RPL,45,26.56321,1.11456,30,30,4,0.13333,20.85269,80
Deep Q RL-RPL,46,27.18234,1.09392,30,30,3,0.10000,21.06217,80
Deep Q RL-RPL,47,27.76163,1.07461,30,30,7,0.23333,19.81422,80
Deep Q RL-RPL,48,28.37954,1.05402,30,30,7,0.23333,20.55276,80
Deep Q RL-RPL,49,28.98157,1.03395,29,30,5,0.16667,20.67588,80
Deep Q RL-RPL,50,29.66077,1.01131,29,29,4,0.13793,19.90349,80
Deep Q RL-RPL,51,30.21891,0.99270,29,29,1,0.03448,18.27099,80
Deep Q RL-RPL,52,30.85887,0.97137,29,29,2,0.06897,20.23862,80
Deep Q RL-RPL,53,31.53068,0.94898,29,29,5,0.17241,18.75158,80
Deep Q RL-RPL,54,32.05774,0.93141,29,29,1,0.03448,19.01098,80
Deep Q RL-RPL,55,32.63124,0.91229,29,29,1,0.03448,18.83758,80
Deep Q RL-RPL,56,33.23625,0.89213,29,29,7,0.24138,18.17944,80
Deep Q RL-RPL,57,33.91801,0.86940,28,29,3,0.10345,21.13564,80
Deep Q RL-RPL,58,34.47608,0.85080,28,28,1,0.03571,16.47596,80
Deep Q RL-RPL,59,35.03711,0.83210,28,28,5,0.17857,18.97333,80
Deep Q RL-RPL,60,35.67294,0.81090,28,28,3,0.10714,22.72401,80
Deep Q RL-RPL,61,36.24299,0.79190,28,28,2,0.07143,17.48526,80
Deep Q RL-RPL,62,36.77467,0.77418,28,28,3,0.10714,20.83108,80
Deep Q RL-RPL,63,37.31688,0.75610,28,28,5,0.17857,16.24099,80
Deep Q RL-RPL,64,37.92853,0.73572,28,28,1,0.03571,19.93810,80
Deep Q RL-RPL,65,38.41711,0.71943,27,28,2,0.07143,16.47192,80
Deep Q RL-RPL,66,39.11885,0.69604,26,27,6,0.22222,18.34610,80
Deep Q RL-RPL,67,39.55704,0.68143,26,26,5,0.19231,18.27532,80
Deep Q RL-RPL,68,40.08196,0.66393,25,26,6,0.23077,17.95059,80
Deep Q RL-RPL,69,40.55691,0.64810,25,25,0,0.00000,0.00000,80
Deep Q RL-RPL,70,41.04320,0.63189,25,25,0,0.00000,0.00000,80
Deep Q RL-RPL,71,41.64159,0.61195,22,25,4,0.16000,14.47592,80
Deep Q RL-RPL,72,42.16443,0.59452,22,22,2,0.09091,18.68678,80
Deep Q RL-RPL,73,42.66209,0.57793,22,22,4,0.18182,15.20090,80
Deep Q RL-RPL,74,43.09651,0.56345,21,22,0,0.00000,0.00000,80
Deep Q RL-RPL,75,43.55653,0.54812,21,21,2,0.09524,15.07096,80
Deep Q RL-RPL,76,43.97495,0.53417,21,21,1,0.04762,16.62848,80
Deep Q RL-RPL,77,44.44182,0.51861,21,21,3,0.14286,12.86318,80
Deep Q RL-RPL,78,44.79659,0.50678,21,21,0,0.00000,0.00000,80
Deep Q RL-RPL,79,45.16394,0.49454,21,21,1,0.04762,8.33526,80
Deep Q RL-RPL,80,45.56433,0.48119,20,21,0,0.00000,0.00000,80
